,quantity,order_id,product_id,datetime,price,name
0,2,1,6,2019-08-03 20:25:00,0.8,Plain Papadum
1,1,1,240,2019-08-03 20:25:00,12.95,King Prawn Balti
2,1,1,19,2019-08-03 20:25:00,2.95,Garlic Naan
3,1,1,36,2019-08-03 20:25:00,3.95,Mushroom Rice
4,1,1,111,2019-08-03 20:25:00,8.95,Paneer Tikka Masala
5,1,1,3,2019-08-03 20:25:00,0.5,Mango Chutney
6,1,2,11,2019-08-03 20:17:00,2.6,Plain Naan
7,1,2,36,2019-08-03 20:17:00,3.95,Mushroom Rice
8,1,2,55,2019-08-03 20:17:00,4.95,Tandoori Chicken (1/4)
9,1,2,98,2019-08-03 20:17:00,7.95,Vindaloo - Lamb
10,1,2,8,2019-08-03 20:17:00,1.95,Chapati
11,1,2,58,2019-08-03 20:17:00,4.95,Lamb Tikka
12,1,2,66,2019-08-03 20:17:00,5.95,Saag Paneer
13,1,3,54,2019-08-03 20:09:00,4.95,Aloo Chaat
14,1,3,68,2019-08-03 20:09:00,5.95,Chicken Pakora
15,1,3,169,2019-08-03 20:09:00,9.95,Chicken Chilli Garlic
16,1,3,170,2019-08-03 20:09:00,9.95,Lamb Biryani
17,1,3,13,2019-08-03 20:09:00,2.95,Keema Naan
18,1,4,68,2019-08-03 20:01:00,5.95,Chicken Pakora
19,1,4,6,2019-08-03 20:01:00,0.8,Plain Papadum
20,1,4,3,2019-08-03 20:01:00,0.5,Mango Chutney
21,1,4,4,2019-08-03 20:01:00,0.5,Red Sauce
22,1,4,191,2019-08-03 20:01:00,9.95,Korma - Prawn
23,1,4,14,2019-08-03 20:01:00,2.95,Peshwari Naan
24,1,4,15,2019-08-03 20:01:00,2.95,Pilau Rice
25,1,5,165,2019-08-03 19:44:00,9.95,Chicken Balti
26,2,5,34,2019-08-03 19:44:00,3.95,Special Fried Rice
27,1,6,103,2019-08-03 19:42:00,8.95,Chicken Tikka Masala
28,1,6,95,2019-08-03 19:42:00,7.95,Curry - Lamb
29,1,6,15,2019-08-03 19:42:00,2.95,Pilau Rice
30,1,6,14,2019-08-03 19:42:00,2.95,Peshwari Naan
31,1,6,6,2019-08-03 19:42:00,0.8,Plain Papadum
32,2,7,6,2019-08-03 19:41:00,0.8,Plain Papadum
33,1,7,38,2019-08-03 19:41:00,3.95,Vegetable Rice
34,1,7,203,2019-08-03 19:41:00,9.95,Saag - Prawn
35,1,7,136,2019-08-03 19:41:00,8.95,Tandoori Chicken Masala
36,1,8,15,2019-08-03 19:29:00,2.95,Pilau Rice
37,1,8,144,2019-08-03 19:29:00,8.95,Lamb Tikka Chilli Masala
38,1,8,14,2019-08-03 19:29:00,2.95,Peshwari Naan
39,1,8,74,2019-08-03 19:29:00,5.95,Saag Aloo
40,1,9,79,2019-08-03 19:28:00,5.95,Aloo Gobi
41,1,9,64,2019-08-03 19:28:00,5.95,Bhindi Bhajee
42,1,9,66,2019-08-03 19:28:00,5.95,Saag Paneer
43,2,9,1,2019-08-03 19:28:00,0.5,Mint Sauce
44,1,9,176,2019-08-03 19:28:00,9.95,Chicken Biryani
45,1,9,19,2019-08-03 19:28:00,2.95,Garlic Naan
46,1,9,11,2019-08-03 19:28:00,2.6,Plain Naan
47,1,9,136,2019-08-03 19:28:00,8.95,Tandoori Chicken Masala
48,4,10,6,2019-08-03 19:26:00,0.8,Plain Papadum
49,2,10,4,2019-08-03 19:26:00,0.5,Red Sauce
50,1,10,103,2019-08-03 19:26:00,8.95,Chicken Tikka Masala
51,1,10,94,2019-08-03 19:26:00,7.95,Madras - Chicken Tikka
52,2,10,36,2019-08-03 19:26:00,3.95,Mushroom Rice
53,1,10,19,2019-08-03 19:26:00,2.95,Garlic Naan
54,1,10,73,2019-08-03 19:26:00,5.95,Bombay Aloo
55,1,11,28,2019-08-03 19:25:00,3.95,Onion Bhajee
56,1,11,60,2019-08-03 19:25:00,4.95,Sheek Kebab
57,8,11,6,2019-08-03 19:25:00,0.8,Plain Papadum
58,2,11,3,2019-08-03 19:25:00,0.5,Mango Chutney
59,2,11,1,2019-08-03 19:25:00,0.5,Mint Sauce
60,1,11,5,2019-08-03 19:25:00,0.5,Onion Chutney
61,1,11,110,2019-08-03 19:25:00,8.95,Chicken Tikka (Main)
62,1,11,102,2019-08-03 19:25:00,8.95,Korma - Chicken
63,1,11,103,2019-08-03 19:25:00,8.95,Chicken Tikka Masala
64,1,11,18,2019-08-03 19:25:00,2.95,Plain Rice
65,1,11,15,2019-08-03 19:25:00,2.95,Pilau Rice
66,2,11,13,2019-08-03 19:25:00,2.95,Keema Naan
67,1,11,30,2019-08-03 19:25:00,3.95,French Fries
68,1,11,176,2019-08-03 19:25:00,9.95,Chicken Biryani
69,1,11,36,2019-08-03 19:25:00,3.95,Mushroom Rice
70,1,12,28,2019-08-03 19:16:00,3.95,Onion Bhajee
71,1,12,102,2019-08-03 19:16:00,8.95,Korma - Chicken
72,1,12,14,2019-08-03 19:16:00,2.95,Peshwari Naan
73,1,12,15,2019-08-03 19:16:00,2.95,Pilau Rice
74,1,13,110,2019-08-03 18:37:00,8.95,Chicken Tikka (Main)
75,1,13,103,2019-08-03 18:37:00,8.95,Chicken Tikka Masala
76,1,13,35,2019-08-03 18:37:00,3.95,Meat Samosa
77,2,14,6,2019-08-03 18:36:00,0.8,Plain Papadum
78,1,14,3,2019-08-03 18:36:00,0.5,Mango Chutney
79,1,14,1,2019-08-03 18:36:00,0.5,Mint Sauce
80,1,14,4,2019-08-03 18:36:00,0.5,Red Sauce
81,1,14,42,2019-08-03 18:36:00,3.95,Keema Rice
82,1,14,13,2019-08-03 18:36:00,2.95,Keema Naan
83,1,14,169,2019-08-03 18:36:00,9.95,Chicken Chilli Garlic
84,1,14,168,2019-08-03 18:36:00,9.95,Lamb Hari Mirch
