id,name,price,quantity,datetime
6,Plain Papadum,0.8,2,2019-08-03 20:25:00
240,King Prawn Balti,12.95,1,2019-08-03 20:25:00
19,Garlic Naan,2.95,1,2019-08-03 20:25:00
36,Mushroom Rice,3.95,1,2019-08-03 20:25:00
111,Paneer Tikka Masala,8.95,1,2019-08-03 20:25:00
3,Mango Chutney,0.5,1,2019-08-03 20:25:00
11,Plain Naan,2.6,1,2019-08-03 20:17:00
36,Mushroom Rice,3.95,1,2019-08-03 20:17:00
55,Tandoori Chicken (1/4),4.95,1,2019-08-03 20:17:00
98,Vindaloo - Lamb,7.95,1,2019-08-03 20:17:00
8,Chapati,1.95,1,2019-08-03 20:17:00
58,Lamb Tikka,4.95,1,2019-08-03 20:17:00
66,Saag Paneer,5.95,1,2019-08-03 20:17:00
54,Aloo Chaat,4.95,1,2019-08-03 20:09:00
68,Chicken Pakora,5.95,1,2019-08-03 20:09:00
169,Chicken Chilli Garlic,9.95,1,2019-08-03 20:09:00
170,Lamb Biryani,9.95,1,2019-08-03 20:09:00
13,Keema Naan,2.95,1,2019-08-03 20:09:00
68,Chicken Pakora,5.95,1,2019-08-03 20:01:00
6,Plain Papadum,0.8,1,2019-08-03 20:01:00
3,Mango Chutney,0.5,1,2019-08-03 20:01:00
4,Red Sauce,0.5,1,2019-08-03 20:01:00
191,Korma - Prawn,9.95,1,2019-08-03 20:01:00
14,Peshwari Naan,2.95,1,2019-08-03 20:01:00
15,Pilau Rice,2.95,1,2019-08-03 20:01:00
165,Chicken Balti,9.95,1,2019-08-03 19:44:00
34,Special Fried Rice,3.95,2,2019-08-03 19:44:00
103,Chicken Tikka Masala,8.95,1,2019-08-03 19:42:00
95,Curry - Lamb,7.95,1,2019-08-03 19:42:00
15,Pilau Rice,2.95,1,2019-08-03 19:42:00
14,Peshwari Naan,2.95,1,2019-08-03 19:42:00
6,Plain Papadum,0.8,1,2019-08-03 19:42:00
6,Plain Papadum,0.8,2,2019-08-03 19:41:00
38,Vegetable Rice,3.95,1,2019-08-03 19:41:00
203,Saag - Prawn,9.95,1,2019-08-03 19:41:00
136,Tandoori Chicken Masala,8.95,1,2019-08-03 19:41:00
15,Pilau Rice,2.95,1,2019-08-03 19:29:00
144,Lamb Tikka Chilli Masala,8.95,1,2019-08-03 19:29:00
14,Peshwari Naan,2.95,1,2019-08-03 19:29:00
74,Saag Aloo,5.95,1,2019-08-03 19:29:00
79,Aloo Gobi,5.95,1,2019-08-03 19:28:00
64,Bhindi Bhajee,5.95,1,2019-08-03 19:28:00
66,Saag Paneer,5.95,1,2019-08-03 19:28:00
1,Mint Sauce,0.5,2,2019-08-03 19:28:00
176,Chicken Biryani,9.95,1,2019-08-03 19:28:00
19,Garlic Naan,2.95,1,2019-08-03 19:28:00
11,Plain Naan,2.6,1,2019-08-03 19:28:00
136,Tandoori Chicken Masala,8.95,1,2019-08-03 19:28:00
6,Plain Papadum,0.8,4,2019-08-03 19:26:00
4,Red Sauce,0.5,2,2019-08-03 19:26:00
103,Chicken Tikka Masala,8.95,1,2019-08-03 19:26:00
94,Madras - Chicken Tikka,7.95,1,2019-08-03 19:26:00
36,Mushroom Rice,3.95,2,2019-08-03 19:26:00
19,Garlic Naan,2.95,1,2019-08-03 19:26:00
73,Bombay Aloo,5.95,1,2019-08-03 19:26:00
28,Onion Bhajee,3.95,1,2019-08-03 19:25:00
60,Sheek Kebab,4.95,1,2019-08-03 19:25:00
6,Plain Papadum,0.8,8,2019-08-03 19:25:00
3,Mango Chutney,0.5,2,2019-08-03 19:25:00
1,Mint Sauce,0.5,2,2019-08-03 19:25:00
5,Onion Chutney,0.5,1,2019-08-03 19:25:00
110,Chicken Tikka (Main),8.95,1,2019-08-03 19:25:00
102,Korma - Chicken,8.95,1,2019-08-03 19:25:00
103,Chicken Tikka Masala,8.95,1,2019-08-03 19:25:00
18,Plain Rice,2.95,1,2019-08-03 19:25:00
15,Pilau Rice,2.95,1,2019-08-03 19:25:00
13,Keema Naan,2.95,2,2019-08-03 19:25:00
30,French Fries,3.95,1,2019-08-03 19:25:00
176,Chicken Biryani,9.95,1,2019-08-03 19:25:00
36,Mushroom Rice,3.95,1,2019-08-03 19:25:00
28,Onion Bhajee,3.95,1,2019-08-03 19:16:00
102,Korma - Chicken,8.95,1,2019-08-03 19:16:00
14,Peshwari Naan,2.95,1,2019-08-03 19:16:00
15,Pilau Rice,2.95,1,2019-08-03 19:16:00
110,Chicken Tikka (Main),8.95,1,2019-08-03 18:37:00
103,Chicken Tikka Masala,8.95,1,2019-08-03 18:37:00
35,Meat Samosa,3.95,1,2019-08-03 18:37:00
6,Plain Papadum,0.8,2,2019-08-03 18:36:00
3,Mango Chutney,0.5,1,2019-08-03 18:36:00
1,Mint Sauce,0.5,1,2019-08-03 18:36:00
4,Red Sauce,0.5,1,2019-08-03 18:36:00
42,Keema Rice,3.95,1,2019-08-03 18:36:00
13,Keema Naan,2.95,1,2019-08-03 18:36:00
169,Chicken Chilli Garlic,9.95,1,2019-08-03 18:36:00
168,Lamb Hari Mirch,9.95,1,2019-08-03 18:36:00
81,Mushroom Bhajee,5.95,1,2019-08-03 18:36:00
92,Curry - Chicken,7.95,1,2019-08-03 18:36:00
73,Bombay Aloo,5.95,1,2019-08-03 18:36:00
11,Plain Naan,2.6,1,2019-08-03 18:36:00
38,Vegetable Rice,3.95,1,2019-08-03 18:36:00
212,Chicken Tikka Biryani,10.95,1,2019-08-03 18:34:00
82,Mixed Starter,5.95,1,2019-08-03 18:34:00
28,Onion Bhajee,3.95,1,2019-08-03 18:32:00
212,Chicken Tikka Biryani,10.95,1,2019-08-03 18:32:00
113,Bhuna - Chicken Tikka,8.95,1,2019-08-03 18:32:00
36,Mushroom Rice,3.95,1,2019-08-03 18:32:00
42,Keema Rice,3.95,1,2019-08-03 18:12:00
91,Madras - Lamb,7.95,1,2019-08-03 18:12:00
73,Bombay Aloo,5.95,1,2019-08-03 18:12:00
46,Masala Sauce,3.95,1,2019-08-03 18:00:00
36,Mushroom Rice,3.95,1,2019-08-03 18:00:00
17,Bottle Coke,2.95,1,2019-08-03 18:00:00
14,Peshwari Naan,2.95,1,2019-08-03 18:00:00
217,Tandoori Mixed Grill,11.95,2,2019-08-03 18:00:00
6,Plain Papadum,0.8,3,2019-08-03 18:00:00
1,Mint Sauce,0.5,1,2019-08-03 18:00:00
3,Mango Chutney,0.5,1,2019-08-03 18:00:00
